sample_prefix,Sample,Cluster,c1,c2,c3,replicate,Prep
467,467-med9-10C-2h-6,2,med9,10C,2h,6,prepp 4
468,468-med16-10C-2h-6,1,med16,10C,2h,6,prepp 6
469,469-med18-10C-2h-6,2,med18,10C,2h,6,prepp 4
47,47-med9-30C-2h-3,2,med9,30C,2h,3,Prepp 1
470,470-cdk8-10C-2h-6,2,cdk8,10C,2h,6,prepp 4
471,471-Wt-10C-4h-6,2,Wt,10C,4h,6,prepp 4
472,472-med9-10C-4h-6,2,med9,10C,4h,6,prepp 4
473,473-med16-10C-4h-6,2,med16,10C,4h,6,prepp 4
474,474-med18-10C-4h-6,2,med18,10C,4h,6,prepp 4
475,475-cdk8-10C-4h-6,2,cdk8,10C,4h,6,prepp 4
476,476-Wt-10C-6h-6,2,Wt,10C,6h,6,prepp 4
477,477-med9-10C-6h-6,2,med9,10C,6h,6,prepp 4
478,478-med16-10C-6h-6,2,med16,10C,6h,6,prepp 4
479,479-med18-10C-6h-6,2,med18,10C,6h,6,prepp 4
48,48-med16-30C-2h-3,2,med16,30C,2h,3,Prepp 1
480,480-cdk8-10C-6h-6,2,cdk8,10C,6h,6,prepp 4
481,481-Wt-30C-0h-1,2,Wt,30C,0h,1,prepp 4
482,482-Wt-30C-2h-1,2,Wt,30C,2h,1,prepp 4
483,483-Wt-30C-4h-1,2,Wt,30C,4h,1,prepp 4
484,484-Wt-30C-6h-1,2,Wt,30C,6h,1,prepp 4
485,485-med16-35C-0h-4,2,med16,35C,0h,4,prepp 4
486,486-med16-35C-2h-4,2,med16,35C,2h,4,prepp 4
487,487-med16-35C-4h-4,2,med16,35C,4h,4,prepp 4
488,488-med16-35C-6h-4,2,med16,35C,6h,4,prepp 4
49,49-med18-30C-2h-3,2,med18,30C,2h,3,Prepp 1
50,50-cdk8-30C-2h-3,2,cdk8,30C,2h,3,Prepp 1
51,51-Wt-30C-4h-3,2,Wt,30C,4h,3,Prepp 1
53,53-med16-30C-4h-3,2,med16,30C,4h,3,Prepp 1
55,55-cdk8-30C-4h-3,2,cdk8,30C,4h,3,Prepp 1
57,57-med9-30C-6h-3,2,med9,30C,6h,3,Prepp 1
58,58-med16-30C-6h-3,2,med16,30C,6h,3,Prepp 1
59,59-med18-30C-6h-3,2,med18,30C,6h,3,Prepp 1
60,60-cdk8-30C-6h-3,2,cdk8,30C,6h,3,Prepp 1
61,61-Wt-30C-0h-4,2,Wt,30C,0h,4,Prepp 1
62,62-med9-30C-0h-4,2,med9,30C,0h,4,Prepp 1
63,63-med16-30C-0h-4,2,med16,30C,0h,4,Prepp 1
64,64-med18-30C-0h-4,2,med18,30C,0h,4,Prepp 1
65,65-cdk8-30C-0h-4,2,cdk8,30C,0h,4,Prepp 1
66,66-Wt-30C-2h-4,2,Wt,30C,2h,4,Prepp 1
67,67-med9-30C-2h-4,2,med9,30C,2h,4,Prepp 1
68,68-med16-30C-2h-4,2,med16,30C,2h,4,Prepp 1
69,69-med18-30C-2h-4,2,med18,30C,2h,4,Prepp 1
7,7-med9-30C-2h-1,2,med9,30C,2h,1,Prepp 1
71,71-Wt-30C-4h-4,2,Wt,30C,4h,4,Prepp 1
73,73-med16-30C-4h-4,2,med16,30C,4h,4,Prepp 1
75,75-cdk8-30C-4h-4,2,cdk8,30C,4h,4,Prepp 1
76,76-Wt-30C-6h-4,2,Wt,30C,6h,4,Prepp 1
78,78-med16-30C-6h-4,2,med16,30C,6h,4,Prepp 1
79,79-med18-30C-6h-4,2,med18,30C,6h,4,Prepp 1
8,8-med16-30C-2h-1,2,med16,30C,2h,1,Prepp 1
80,80-cdk8-30C-6h-4,2,cdk8,30C,6h,4,Prepp 1
81,81-Wt-30C-0h-5,2,Wt,30C,0h,5,Prepp 1
82,82-med9-30C-0h-5,2,med9,30C,0h,5,Prepp 1
83,83-med16-30C-0h-5,2,med16,30C,0h,5,Prepp 1
84,84-med18-30C-0h-5,2,med18,30C,0h,5,Prepp 1
86,86-Wt-30C-2h-5,2,Wt,30C,2h,5,Prepp 1
87,87-med9-30C-2h-5,2,med9,30C,2h,5,Prepp 1
88,88-med16-30C-2h-5,2,med16,30C,2h,5,Prepp 1
89,89-med18-30C-2h-5,2,med18,30C,2h,5,Prepp 1
9,9-med18-30C-2h-1,2,med18,30C,2h,1,Prepp 1
90,90-cdk8-30C-2h-5,2,cdk8,30C,2h,5,Prepp 1
91,91-Wt-30C-4h-5,2,Wt,30C,4h,5,Prepp 1
96,96-Wt-30C-6h-5,2,Wt,30C,6h,5,Prepp 1
97,97-med9-30C-6h-5,2,med9,30C,6h,5,prepp 4
98,98-med16-30C-6h-5,2,med16,30C,6h,5,prepp 4
99,99-med18-30C-6h-5,2,med18,30C,6h,5,prepp 4
